epoch	batch	accuracy	avg_momentum	transfer_rate	false_positive_rate	false_negative_rate
5	20	1.0000	16.2183	0.7800	0.0000	0.0000
5	21	1.0000	16.5828	0.7400	0.0000	0.0000
5	22	0.9800	15.4116	0.6800	0.0000	0.0200
5	23	0.9800	18.6501	0.7800	0.0000	0.0200
5	24	1.0000	17.3397	0.7400	0.0000	0.0000
5	25	0.9800	15.8377	0.7400	0.0200	0.0000
5	26	1.0000	13.3141	0.5800	0.0000	0.0000
5	27	1.0000	16.2125	0.7200	0.0000	0.0000
5	28	1.0000	18.4024	0.8000	0.0000	0.0000
5	29	0.9800	17.3842	0.7600	0.0000	0.0200
5	30	1.0000	13.2419	0.5600	0.0000	0.0000
5	31	1.0000	17.1021	0.7400	0.0000	0.0000
5	32	0.9800	16.4302	0.7000	0.0200	0.0000
5	33	1.0000	16.0094	0.6600	0.0000	0.0000
5	34	1.0000	14.3448	0.6600	0.0000	0.0000
5	35	1.0000	17.0330	0.7600	0.0000	0.0000
5	36	1.0000	16.6380	0.6800	0.0000	0.0000
5	37	0.9400	15.7797	0.6600	0.0200	0.0400
5	38	1.0000	13.6349	0.6000	0.0000	0.0000
5	39	0.9800	16.8954	0.7000	0.0200	0.0000
5	40	1.0000	13.8460	0.6200	0.0000	0.0000
